round,participation_fee,initial_bonds,buy_option,sell_option,g,k,m,y,q,height
1,373.5,1,True,True,70,0.1,55,2,22,3
2,0,1,True,True,70,0.1,60,68,23,3
3,0,1,True,True,70,0.1,52,33,23,3
4,0,1,True,True,70,0.1,6,84,53,3
5,0,1,True,True,70,0.1,5,11,96,3
6,414.9,1,True,True,30,0.1,70,86,73,3
7,0,1,True,True,30,0.1,91,76,56,3
8,0,1,True,True,30,0.1,45,43,70,3
9,0,1,True,True,30,0.1,8,98,36,3
10,0,1,True,True,30,0.1,53,16,98,3
11,326.7,1,True,True,70,2.5,52,12,7,15
12,0,1,True,True,70,2.5,45,22,27,15
13,0,1,True,True,70,2.5,53,83,80,15
14,0,1,True,True,70,2.5,73,18,56,15
15,0,1,True,True,70,2.5,42,10,67,15
16,350.1,1,True,True,70,2.5,31,10,27,15
17,0,1,True,True,70,2.5,60,73,83,15
18,0,1,True,True,70,2.5,89,48,65,15
19,0,1,True,True,70,2.5,57,79,1,15
20,0,1,True,True,70,2.5,15,65,23,15
21,751.5,1,True,True,30,0.1,78,7,41,3
22,0,1,True,True,30,0.1,37,64,0,3
23,0,1,True,True,30,0.1,87,37,34,3
24,0,1,True,True,30,0.1,23,66,10,3
25,0,1,True,True,30,0.1,27,52,36,3
26,282.6,1,True,True,70,0.1,96,17,55,3
27,0,1,True,True,70,0.1,97,39,2,3
28,0,1,True,True,70,0.1,84,78,94,3
29,0,1,True,True,70,0.1,3,48,21,3
30,0,1,True,True,70,0.1,16,17,44,3
31,474.3,1,True,True,70,0.1,65,11,28,3
32,0,1,True,True,70,0.1,39,59,86,3
33,0,1,True,True,70,0.1,75,70,13,3
34,0,1,True,True,70,0.1,76,63,92,3
35,0,1,True,True,70,0.1,77,21,60,3
36,467.1,1,True,True,30,0.1,8,77,94,3
37,0,1,True,True,30,0.1,21,78,29,3
38,0,1,True,True,30,0.1,15,30,7,3
39,0,1,True,True,30,0.1,25,11,49,3
40,0,1,True,True,30,0.1,10,79,60,3
